era,e_migdppcln,logpop,l_pwd_a,Elr,W4,e_peaveduc
3,"(1.841, 5.054]","(10.637, 14.669]",,,"(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.492, 0.706]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]",,"(0.272, 0.514]","(0.706, 1.0]",
3,"(1.841, 5.054]","(10.637, 14.669]","(6.659, 7.333]","(0.272, 0.514]","(0.706, 1.0]",
4,"(1.841, 5.054]","(10.637, 14.669]","(6.659, 7.333]","(0.272, 0.514]","(0.706, 1.0]",
