gwid,gwgroupid,religion1,rel1_size,religion2,rel2_size,religion3,rel3_size,language1,lang1_size,language2,lang2_size,language3,lang3_size,phenotype1,pheno1_size,phenotype2,pheno2_size,phenotype3,pheno3_size
100,10003000,ANI,0.37,ARC1,0.29,ARC4,0.12,spa,0.52,guc,0.11,pbb,0.09,ame,1,,0,,0
101,10101000,ARC1,0.71,ATH,0.12,,0,spa,1,,0,,0,eur,0.6,ame,0.2,ssa,0.2
101,10102000,ARC1,0.71,ATH,0.12,,0,spa,1,,0,,0,ssa,1,,0,,0
101,10103000,ANI,0.54,ARC1,0.23,,0,guc,0.31,wba,0.05,,0,ame,1,,0,,0
110,11001000,ERH1,0.7,ARI,0.14,,0,gyn,0.98,,0,,0,sas,1,,0,,0
110,11002000,ARC4,0.48,ARC1,0.29,ARC99,0.19,gyn,1,,0,,0,ssa,1,,0,,0
110,11003000,ANI,0.37,ARC1,0.19,ARC4,0.18,gyn,0.58,arw,0.15,,0,ame,1,,0,,0
115,11501000,ARC99,0.38,ARC1,0.36,ATH,0.12,nld,0.6,gyn,0.39,,0,ssa,0.5,eur,0.5,,0
115,11502000,ATH,0.46,ANI,0.34,ERB,0.12,hak,0.58,yue,0.42,,0,eas,1,,0,,0
115,11503000,ERH,0.3,ARC4,0.26,ARI,0.15,hns,0.5,nld,0.4,srn,0.1,sas,1,,0,,0
115,11504000,ARC1,0.44,ANI,0.43,,0,nld,0.416,tri,0.21,car,0.19,ame,1,,0,,0
115,11505000,ARI1,0.44,ARC4,0.23,ARC1,0.11,jvn,0.5,nld,0.4,srn,0.1,sas,1,,0,,0
115,11506000,ARC1,0.59,ANI,0.18,ARC4,0.1,srn,0.6,djk,0.22,srm,0.15,ssa,0.5,ame,0.5,,0
130,13002000,ARC1,0.8,,0,,0,spa,1,,0,,0,eur,0.6,ame,0.4,,0
130,13003000,ARC4,0.7,ARC99,0.12,ARC4,0.12,qug,0.48,qvi,0.35,qxr,0.08,ame,1,,0,,0
130,13004000,ANI199,0.85,ARC4,0.1,,0,jiv,0.6,cbi,0.17,acu,0.09,ame,1,,0,,0
130,13005000,ARC1,0.81,,0,,0,spa,1,,0,,0,ssa,1,,0,,0
135,13501000,ARC1,0.91,,0,,0,quz,0.31,quy,0.15,qxp,0.08,ame,1,,0,,0
135,13502000,ARC1,0.82,,0,,0,spa,1,,0,,0,eur,0.65,ame,0.35,,0
135,13504000,ARC1,0.6,ARC4,0.2,ARC99,0.2,spa,1,,0,,0,ssa,1,,0,,0
135,13505000,ANI,0.71,ARC1,0.29,,0,cpu,0.16,agr,0.13,,0,ame,1,,0,,0
140,14001000,ARC1,0.72,ARC99,0.11,ARC4,0.08,por,1,,0,,0,eur,1,,0,,0
140,14002000,ARC1,0.72,ARC99,0.16,ARC4,0.07,por,1,,0,,0,eur,0.7,ssa,0.2,ame,0.1
140,14003000,ARC1,0.61,ARC4,0.2,ATH,0.11,por,0.51,,0,,0,ame,1,,0,,0
145,14503000,ARC1,0.55,ARC99,0.14,ARC4,0.21,que,1,,0,,0,ame,1,,0,,0
145,14504000,ARC1,0.82,ARC4,0.075,ARC99,0.047,spa,1,,0,,0,eur,0.6,ame,0.4,,0
145,14505000,ARC1,0.51,ARC99,0.28,ARC4,0.16,ayr,1,,0,,0,ame,1,,0,,0
145,14506000,ARC99,0.35,ARC1,0.28,ANI,0.18,spa,0.5,cax,0.2,gui,0.1,ame,1,,0,,0
150,15001000,ARC1,0.86,,0,,0,gug,0.9,spa,0.1,,0,eur,0.6,ame,0.4,,0
150,15005000,ARC1,0.36,ANI,0.35,ARC4,0.17,cag,0.27,gun,0.18,leg,0.16,ame,1,,0,,0
155,15501000,ARC1,0.7,ARC99,0.12,,0,spa,1,,0,,0,eur,0.7,ame,0.3,,0
155,15502000,ARC1,0.518,ANI,0.2,ARC99,0.13,spa,0.65,arn,0.35,,0,ame,1,,0,,0
155,15503000,ARC1,0.63,ANI,0.16,ARC99,0.11,ayr,0.65,spa,0.26,cqu,0.1,ame,1,,0,,0
160,16001000,ARC1,0.81,,0,,0,spa,1,,0,,0,eur,0.96,ame,0.04,,0
160,16002000,ARC1,0.53,ARC99,0.29,ANI,0.1,gug,0.33,arn,0.17,qus,0.1,ame,1,,0,,0
165,16501000,ARC1,0.55,ATH,0.28,,0,spa,1,,0,,0,eur,0.92,,0,,0
