model,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic,meanbetap,meanbetaw,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic
gwf_personal+ln_pwd_m,22,1,1,1,1,4,0,0,0,0,8,12,7.860571429,0.127428571,63%,3%,3%,3%,3%,11%,0%,0%,0%,0%,23%,34%
gwf_personal+wb_urbpop,19,15,9,4,2,3,1,0,0,0,16,17,0.079142857,0.042,54%,43%,26%,11%,6%,9%,3%,0%,0%,0%,46%,49%
gwf_personal+l_res_norm,9,2,1,1,0,3,1,1,0,0,5,7,2.361142857,0.050285714,26%,6%,3%,3%,0%,9%,3%,3%,0%,0%,14%,20%
gwf_personal+p_res_norm,28,3,1,1,0,3,1,0,0,0,22,25,2.014857143,0.058285714,80%,9%,3%,3%,0%,9%,3%,0%,0%,0%,63%,71%
gwf_personal+r_res_norm,8,0,0,0,0,3,1,0,0,0,4,5,2.590571429,0.044285714,23%,0%,0%,0%,0%,9%,3%,0%,0%,0%,11%,14%
gwf_personal+g_res_norm,26,6,4,1,1,3,1,0,0,0,16,21,3.832,0.044,74%,17%,11%,3%,3%,9%,3%,0%,0%,0%,46%,60%
gwf_personal+e_peaveduc,19,2,1,1,1,3,1,1,0,0,8,10,0.457428571,0.040285714,54%,6%,3%,3%,3%,9%,3%,3%,0%,0%,23%,29%
gwf_demo+ln_pwd_a,29,11,10,5,2,33,20,15,9,5,18,20,15.69171429,0.546,83%,31%,29%,14%,6%,94%,57%,43%,26%,14%,51%,57%
gwf_demo+ln_pwd_g,32,7,5,2,1,33,21,17,8,6,13,23,18.32914286,0.563714286,91%,20%,14%,6%,3%,94%,60%,49%,23%,17%,37%,66%
gwf_demo+ln_pwd_m,27,1,1,1,1,33,21,17,9,6,9,15,8.459714286,0.591428571,77%,3%,3%,3%,3%,94%,60%,49%,26%,17%,26%,43%
gwf_demo+wb_urbpop,15,9,6,3,2,32,28,28,27,25,13,13,0.072571429,1.290571429,43%,26%,17%,9%,6%,91%,80%,80%,77%,71%,37%,37%
gwf_demo+l_res_norm,9,2,1,1,0,32,29,28,27,25,5,7,2.592285714,1.389428571,26%,6%,3%,3%,0%,91%,83%,80%,77%,71%,14%,20%
gwf_demo+p_res_norm,28,1,1,1,0,32,28,28,27,25,19,23,1.946857143,1.303142857,80%,3%,3%,3%,0%,91%,80%,80%,77%,71%,54%,66%
gwf_demo+r_res_norm,8,0,0,0,0,32,28,28,27,25,4,6,2.912857143,1.359142857,23%,0%,0%,0%,0%,91%,80%,80%,77%,71%,11%,17%
gwf_demo+g_res_norm,21,5,3,1,1,32,28,28,27,25,14,18,3.590571429,1.325428571,60%,14%,9%,3%,3%,91%,80%,80%,77%,71%,40%,51%
gwf_demo+e_peaveduc,19,3,2,1,0,32,28,27,27,24,8,11,0.491142857,1.246,54%,9%,6%,3%,0%,91%,80%,77%,77%,69%,23%,31%
